cost,year_month
0.0,2015_7
0.0,2015_7
75.0,2015_7
75.0,2015_7
196.0,2015_7
196.0,2015_7
214.0,2015_7
206.0,2015_7
580.0,2015_7
388.0,2015_7
619.08,2015_7
378.84,2015_7
388.0,2015_7
390.0,2015_7
88.2,2015_7
107.42,2015_7
612.0,2015_7
486.45000000000005,2015_7
508.02,2015_7
508.02,2015_7
598.02,2015_7
664.65,2015_7
445.2,2015_7
556.5,2015_7
658.0,2015_7
611.1,2015_7
868.0,2015_7
957.9,2015_7
393.0,2015_7
392.0,2015_7
435.2,2015_7
685.0,2015_7
397.5,2015_7
615.0,2015_7
685.0,2015_7
774.9,2015_7
412.65000000000003,2015_7
580.16,2015_7
576.4499999999999,2015_7
835.4499999999999,2015_7
473.06,2015_7
616.11,2015_7
1549.8,2015_7
88.2,2015_7
147.0,2015_7
107.0,2015_7
147.0,2015_7
117.9,2015_7
123.0,2015_7
196.0,2015_7
235.62,2015_7
270.0,2015_7
399.0,2015_7
176.85000000000002,2015_7
306.0,2015_7
221.0,2015_7
194.0,2015_7
183.0,2015_7
229.0,2015_7
272.70000000000005,2015_7
488.0,2015_7
442.8,2015_7
686.88,2015_7
530.5500000000001,2015_7
556.8,2015_7
1111.5,2015_7
1886.2199999999998,2015_7
1294.3,2015_7
73.8,2015_7
98.0,2015_7
131.0,2015_7
123.0,2015_7
94.71,2015_7
123.0,2015_7
1375.78,2015_7
695.1,2015_7
636.65,2015_7
278.01,2015_7
214.64999999999998,2015_7
578.9399999999999,2015_7
514.8,2015_7
674.1,2015_7
412.65000000000003,2015_7
516.6,2015_7
679.0,2015_7
973.0,2015_7
470.67999999999995,2015_7
932.0,2015_7
984.0,2015_7
715.5,2015_7
715.5,2015_7
1490.0,2015_7
163.0,2015_7
79.5,2015_7
0.0,2015_7
123.0,2015_7
147.6,2015_7
229.0,2015_7
147.6,2015_7
147.6,2015_7
88.2,2015_7
85.1,2015_7
89.0,2015_7
80.1,2015_7
98.0,2015_7
101.0,2015_7
167.0,2015_7
450.0,2015_7
194.0,2015_7
349.2,2015_7
427.95000000000005,2015_7
615.0,2015_7
535.0,2015_7
978.0,2015_7
492.0,2015_7
1149.3999999999999,2015_7
681.0300000000001,2015_7
688.8000000000001,2015_7
1575.0,2015_7
636.0,2015_7
1244.5,2015_7
1217.7,2015_7
1036.98,2015_7
1877.3999999999999,2015_7
835.0,2015_7
492.0,2015_7
471.24,2015_7
685.28,2015_7
840.0,2015_7
388.0,2015_7
471.24,2015_7
0.0,2015_7
0.0,2015_7
131.0,2015_7
196.0,2015_7
174.6,2015_7
291.0,2015_7
366.0,2015_7
295.2,2015_7
615.0,2015_7
875.0,2015_7
706.8,2015_7
705.78,2015_7
1295.0,2015_7
330.75,2015_7
1208.0,2015_7
1206.0,2015_7
638.6,2015_7
1571.0,2015_7
913.7,2015_7
803.0,2015_7
1549.8,2015_7
1310.3999999999999,2015_7
584.5,2015_7
246.0,2015_7
556.5,2015_7
0.0,2015_7
0.0,2015_7
109.8,2015_7
195.0,2015_7
109.8,2015_7
772.0,2015_7
388.0,2015_7
600.0,2015_7
392.0,2015_7
556.5,2015_7
1773.1000000000001,2015_7
321.0,2015_7
524.0,2015_7
524.0,2015_7
584.0,2015_7
442.8,2015_7
61.0,2015_7
209.44,2015_7
467.76,2015_7
749.0,2015_7
627.76,2015_7
1085.0,2015_7
896.0,2015_7
1170.8999999999999,2015_7
900.9,2015_7
123.0,2015_7
248.0,2015_7
292.0,2015_7
246.0,2015_7
392.0,2015_7
377.29999999999995,2015_7
327.5,2015_7
636.65,2015_7
655.1999999999999,2015_7
834.75,2015_7
943.1099999999999,2015_7
784.0,2015_7
131.0,2015_7
176.4,2015_7
147.6,2015_7
196.0,2015_7
221.0,2015_7
262.0,2015_7
370.0,2015_7
174.6,2015_7
147.6,2015_7
360.0,2015_7
294.0,2015_7
288.9,2015_7
788.0,2015_7
788.0,2015_7
410.0,2015_7
825.0,2015_7
747.0,2015_7
747.88,2015_7
1127.0,2015_7
941.01,2015_7
1011.01,2015_7
1064.0,2015_7
878.7800000000001,2015_7
936.8100000000001,2015_7
1278.0,2015_7
1085.3999999999999,2015_7
1122.0,2015_7
1216.6,2015_7
1376.7,2015_7
666.89,2015_7
761.81,2015_7
603.0,2015_7
544.02,2015_7
866.4000000000001,2015_7
597.0,2015_7
975.8000000000001,2015_7
359.88,2015_7
492.0,2015_7
492.0,2015_7
123.0,2015_7
144.9,2015_7
153.0,2015_7
131.0,2015_7
200.0,2015_7
131.0,2015_7
246.0,2015_7
369.0,2015_7
393.0,2015_7
732.76,2015_7
1162.0,2015_7
1710.0,2015_7
1780.0,2015_7
797.3000000000001,2015_7
905.03,2015_7
153.0,2015_7
98.0,2015_7
1014.0,2015_7
926.03,2015_7
861.0,2015_7
820.54,2015_7
1043.0,2015_7
749.0,2015_7
820.54,2015_7
834.75,2015_7
861.0,2015_7
861.0,2015_7
1011.01,2015_7
1334.7,2015_7
1126.98,2015_7
1353.0,2015_7
1430.0,2015_7
551.88,2015_7
80.1,2015_7
386.0,2015_7
176.4,2015_7
181.42,2015_7
229.0,2015_7
240.4,2015_7
238.5,2015_7
353.70000000000005,2015_7
363.8,2015_7
428.0,2015_7
520.2,2015_7
615.0,2015_7
980.0,2015_7
747.0,2015_7
1229.97,2015_7
837.9,2015_7
706.02,2015_7
164.0,2015_7
147.6,2015_7
235.8,2015_7
164.0,2015_7
300.0,2015_7
322.0,2015_7
128.0,2015_7
330.0,2015_7
264.6,2015_7
390.0,2015_7
264.6,2015_7
495.0,2015_7
456.0,2015_7
600.0,2015_7
600.0,2015_7
536.0,2015_7
600.0,2015_7
819.0,2015_7
918.0,2015_7
591.0,2015_7
837.9,2015_7
1292.2,2015_7
1268.54,2015_7
100.2,2015_7
537.0,2015_7
770.4,2015_7
747.8100000000001,2015_7
134.0,2015_7
8.0,2015_7
292.0,2015_7
444.6,2015_7
681.0,2015_7
509.0,2015_7
762.0,2015_7
969.0,2015_7
1384.02,2015_7
1260.0,2015_7
1179.99,2015_7
963.0,2015_7
807.51,2015_7
1538.6000000000001,2015_7
1538.6000000000001,2015_7
2812.5,2015_7
134.0,2015_7
641.4000000000001,2015_7
1729.04,2015_7
214.0,2015_7
214.0,2015_7
214.0,2015_7
214.0,2015_7
214.0,2015_7
1712.97,2015_7
214.0,2015_7
188.0,2015_7
197.5,2015_7
296.46,2015_7
188.0,2015_7
214.0,2015_7
214.0,2015_7
296.46,2015_7
0.0,2015_7
214.0,2015_7
214.0,2015_7
214.0,2015_7
214.0,2015_7
197.5,2015_7
241.2,2015_7
123.2,2015_7
169.0,2015_7
396.0,2015_7
271.2,2015_7
207.0,2015_7
552.0,2015_7
363.99,2015_7
751.0,2015_7
751.0,2015_7
301.76,2015_7
996.0,2015_7
910.0,2015_7
770.4,2015_7
2240.0,2015_7
0.0,2015_7
254.5,2015_7
328.0,2015_7
289.0,2015_7
224.0,2015_7
311.0,2015_7
289.0,2015_7
289.0,2015_7
246.0,2015_7
241.2,2015_7
535.0,2015_7
668.75,2015_7
517.5,2015_7
424.0,2015_7
535.0,2015_7
535.0,2015_7
424.0,2015_7
535.0,2015_7
975.0,2015_7
984.0,2015_7
1365.0,2015_7
875.0,2015_7
926.1000000000001,2015_7
1015.0,2015_7
644.0,2015_7
926.1000000000001,2015_7
1176.0,2015_7
1336.0,2015_7
1680.0,2015_7
1949.0,2015_7
310.5,2015_7
355.5,2015_7
576.0,2015_7
384.81000000000006,2015_7
405.0,2015_7
378.9,2015_7
288.9,2015_7
378.9,2015_7
355.5,2015_7
348.99,2015_7
656.0,2015_7
443.01,2015_7
870.0,2015_7
882.0,2015_7
1169.0,2015_7
964.25,2015_7
580.0,2015_7
530.4,2015_7
662.5,2015_7
490.09999999999997,2015_7
630.0,2015_7
173.0,2015_7
249.0,2015_7
373.0,2015_7
285.0,2015_7
1690.5,2015_7
1239.0,2015_7
1076.11,2015_7
805.0,2015_7
897.75,2015_7
897.75,2015_7
805.0,2015_7
1080.0,2015_7
1080.0,2015_7
1743.0,2015_7
98.0,2015_7
98.0,2015_7
135.0,2015_7
88.2,2015_7
120.6,2015_7
309.0,2015_7
368.0,2015_7
575.0,2015_7
919.59,2015_7
861.0,2015_7
824.88,2015_7
817.9499999999999,2015_7
774.96,2015_7
861.0,2015_7
861.0,2015_7
1352.0,2015_7
1722.0,2015_7
783.0,2015_7
123.0,2015_7
0.0,2015_7
0.0,2015_7
460.0,2015_7
460.0,2015_7
414.0,2015_7
628.0,2015_7
446.6,2015_7
520.0,2015_7
799.02,2015_7
847.07,2015_7
1172.5,2015_7
1067.01,2015_7
1038.38,2015_7
1169.0,2015_7
1347.5,2015_7
1416.0,2015_7
1416.0,2015_7
1416.0,2015_7
199.0,2015_7
414.0,2015_7
1035.0,2015_7
979.98,2015_7
1063.02,2015_7
668.99,2015_7
896.4,2015_7
1440.0,2015_7
1031.8000000000002,2015_7
153.0,2015_7
670.76,2015_7
0.0,2015_7
0.0,2015_7
154.0,2015_7
134.0,2015_7
582.0,2015_7
552.0,2015_7
507.29999999999995,2015_7
1736.4,2015_7
328.0,2015_7
346.0,2015_7
306.0,2015_7
346.0,2015_7
306.0,2015_7
268.0,2015_7
306.0,2015_7
308.0,2015_7
346.0,2015_7
668.01,2015_7
214.0,2015_7
598.8,2015_7
428.0,2015_7
377.2,2015_7
377.2,2015_7
805.0,2015_7
1232.0,2015_7
1494.0,2015_7
1325.0,2015_7
0.0,2015_7
399.0,2015_7
107.0,2015_7
117.81,2015_7
107.0,2015_7
294.0,2015_7
306.0,2015_7
354.0,2015_7
536.0,2015_7
675.0,2015_7
793.85,2015_7
670.0,2015_7
710.15,2015_7
1200.0,2015_7
804.0,2015_7
1029.0,2015_7
1232.0,2015_7
1029.0,2015_7
1169.0,2015_7
750.4,2015_7
1864.4,2015_7
720.96,2015_7
1206.0,2015_7
1371.0,2015_7
619.85,2015_7
1365.0,2015_7
310.5,2015_7
345.0,2015_7
1045.0,2015_7
1260.0,2015_7
206.36,2015_7
1218.07,2015_7
750.4,2015_7
0.0,2015_7
290.0,2015_7
435.0,2015_7
498.0,2015_7
345.0,2015_7
498.0,2015_7
648.0,2015_7
612.0,2015_7
532.8,2015_7
536.0,2015_7
428.0,2015_7
580.0,2015_7
580.0,2015_7
668.8,2015_7
520.0,2015_7
596.0,2015_7
770.0,2015_7
975.0,2015_7
536.0,2015_7
957.5999999999999,2015_7
723.5999999999999,2015_7
750.4,2015_7
719.04,2015_7
114.85,2015_7
114.85,2015_7
270.0,2015_7
428.0,2015_7
428.0,2015_7
656.0,2015_7
694.0,2015_7
675.0,2015_7
619.08,2015_7
909.5,2015_7
0.0,2015_7
584.0,2015_7
670.0,2015_7
785.0,2015_7
188.0,2015_7
725.0,2015_7
670.0,2015_7
636.65,2015_7
648.36,2015_7
107.0,2015_7
306.0,2015_7
750.99,2015_7
842.22,2015_7
772.0,2015_7
1440.0,2015_7
1133.01,2015_7
1133.01,2015_7
0.0,2015_7
0.0,2015_7
188.0,2015_7
240.0,2015_7
384.0,2015_7
384.0,2015_7
439.0,2015_7
385.0,2015_7
230.4,2015_7
856.0,2015_7
789.0,2015_7
1021.98,2015_7
1192.5,2015_7
192.6,2015_8
211.0,2015_8
1318.03,2015_8
1295.0,2015_8
1545.04,2015_8
2408.0,2015_8
1368.5,2015_8
1116.0,2015_8
981.0,2015_8
1261.96,2015_8
1223.32,2015_8
1051.6499999999999,2015_8
1113.0,2015_8
0.0,2015_8
144.76,2015_8
1134.98,2015_8
542.7800000000001,2015_8
0.0,2015_8
0.0,2015_8
172.0,2015_8
922.0,2015_8
922.0,2015_8
1205.0,2015_8
636.65,2015_8
1318.03,2015_8
636.65,2015_8
1878.0,2015_8
0.0,2015_8
0.0,2015_8
171.9,2015_8
200.0,2015_8
593.0,2015_8
688.0,2015_8
688.0,2015_8
1180.97,2015_8
172.0,2015_8
378.0,2015_8
804.0,2015_8
692.0,2015_8
746.0,2015_8
1086.0,2015_8
1089.0,2015_8
1232.0,2015_8
1384.0,2015_8
1819.0,2015_8
0.0,2015_8
114.0,2015_8
452.0,2015_8
422.0,2015_8
382.0,2015_8
519.0,2015_8
536.0,2015_8
428.8,2015_8
1105.0,2015_8
934.5,2015_8
1435.0,2015_8
1092.51,2015_8
171.9,2015_8
500.0,2015_8
416.0,2015_8
516.0,2015_8
472.77,2015_8
847.0,2015_8
984.0,2015_8
1764.0,2015_8
1935.01,2015_8
931.0,2015_8
636.65,2015_8
966.0,2015_8
2153.97,2015_8
195.0,2015_8
127.31,2015_8
134.0,2015_8
630.99,2015_8
844.0,2015_8
616.0,2015_8
1076.28,2015_8
1662.0,2015_8
728.0,2015_8
931.0,2015_8
910.0,2015_8
744.8000000000001,2015_8
0.0,2015_8
762.0,2015_8
663.0,2015_8
633.0,2015_8
645.0,2015_8
882.42,2015_8
1074.6,2015_8
987.9000000000001,2015_8
1631.0,2015_8
1859.0,2015_8
0.0,2015_8
0.0,2015_8
616.0,2015_8
770.0,2015_8
1097.11,2015_8
1477.0,2015_8
2007.0,2015_8
1422.6,2015_8
1552.92,2015_8
252.0,2015_8
471.24,2015_8
909.5,2015_8
909.5,2015_8
670.0,2015_8
172.0,2015_8
184.45,2015_8
158.0,2015_8
506.40000000000003,2015_8
765.0,2015_8
784.0,2015_8
351.64,2015_8
770.0,2015_8
